city,state,state_name,county,lat,lng,population,density,timezone,zips
"West Valley City","UT","Utah","Salt Lake","40.6886","-112.0123","137955","1486.7","America/Denver","84119,84120,84128,84118,84125,84126,84127,84130,84131,84170"
"Hampton","VA","Virginia","Hampton","37.0551","-76.363","137334","1030.4","America/New_York","23665,23651,23681,23605,23661,23668,23663,23666,23667,23664,23669,23670"
"Pasadena","CA","California","Los Angeles","34.1597","-118.139","136462","2294.8","America/Los_Angeles","91103,91101,91104,91125,91106,91107,91105,91102,91109,91110,91114,91115,91116,91117,91121,91123,91124,91126,91129,91182,91184,91188,91189,91199"
"Miramar","FL","Florida","Broward","25.9773","-80.3351","135986","1819.7","America/New_York","33029,33025,33023,33027"
"Elizabeth","NJ","New Jersey","Union","40.6658","-74.1913","135887","4259.1","America/New_York","07208,07202,07201,07206,07207"
"Stamford","CT","Connecticut","Western Connecticut","41.1039","-73.5585","135806","1393.5","America/New_York","06906,06907,06905,06902,06903,06901,06904,06910,06911,06912,06913,06914,06926,06927"
"Racine","WI","Wisconsin","Racine","42.7274","-87.8135","135512","1925.4","America/Chicago","53405,53404,53406,53403,53402,53401,53408"
"Kent","WA","Washington","King","47.3887","-122.2128","135015","1540.8","America/Los_Angeles","98031,98030,98032,98042,98035,98064,98089"
"Yakima","WA","Washington","Yakima","46.5923","-120.5496","134003","1330.9","America/Los_Angeles","98901,98903,98902,98908,98904,98907"
"Coral Springs","FL","Florida","Broward","26.2702","-80.2591","133962","2262.2","America/New_York","33071,33076,33065,33067,33075,33077"
"Sterling Heights","MI","Michigan","Macomb","42.5809","-83.0305","133473","1413.9","America/Detroit","48310,48313,48312,48314,48311"
"Billings","MT","Montana","Yellowstone","45.7891","-108.5526","133173","991.9","America/Denver","59106,59105,59102,59101,59104,59107,59108,59115,59116,59117"
"Bloomington","IL","Illinois","McLean","40.4757","-88.9703","133107","1120.8","America/Chicago","61701,61705,61704,61709,61710,61791"
"Charleston","WV","West Virginia","Kanawha","38.3484","-81.6322","133045","589.3","America/New_York","25387,25305,25304,25303,25302,25301,25311,25314,25317,25321,25322,25323,25324,25325,25326,25327,25328,25329,25330,25331,25332,25333,25334,25335,25336,25337,25338,25339,25350,25364,25375,25392,25396"
"Carrollton","TX","Texas","Dallas","32.989","-96.8999","132741","1398.2","America/Chicago","75007,75006,75010,75011"
"Tyler","TX","Texas","Smith","32.3184","-95.3062","131037","719.7","America/Chicago","75709,75702,75703,75701,75711,75710,75712,75713,75798,75799"
"Iowa City","IA","Iowa","Johnson","41.6559","-91.5303","129897","1127.9","America/Chicago","52245,52246,52240,52242,52243,52244"
"Johnson City","TN","Tennessee","Washington","36.3406","-82.3806","129818","630.6","America/New_York","37614,37615,37601,37604,37602,37605,37684"
"Santa Clara","CA","California","Santa Clara","37.3646","-121.968","129239","2730.2","America/Los_Angeles","95054,95050,95051,95053,95052,95055,95056"
"Bellingham","WA","Washington","Whatcom","48.7548","-122.469","128737","1264.7","America/Los_Angeles","98225,98226,98229,98228"
"Norman","OK","Oklahoma","Cleveland","35.2335","-97.3471","128714","278.2","America/Chicago","73019,73026,73072,73070,73071,74857,73069,73068"
"Coeur d'Alene","ID","Idaho","Kootenai","47.704","-116.7936","128680","1271.6","America/Los_Angeles","83815,83814,83816"
"Fort Smith","AR","Arkansas","Sebastian","35.3495","-94.3695","128384","538.3","America/Chicago","72908,72901,72904,72923,72916,72903,72906,72913,72914,72917,72918,72919"
"Lewisville","TX","Texas","Denton","33.0454","-96.9815","128313","1218.5","America/Chicago","75067,75065,75056,75057,75077,75029"
"Dover","DE","Delaware","Kent","39.161","-75.5202","128045","640.2","America/New_York","19902,19901,19904,19905,19906"
"Yuba City","CA","California","Sutter","39.1357","-121.6383","127854","1620.5","America/Los_Angeles","95991,95993"
"Lehigh Acres","FL","Florida","Lee","26.612","-81.6388","127391","530.6","America/New_York","33936,33973,33972,33971,33976,33974,33970"
"Abilene","TX","Texas","Taylor","32.4543","-99.7384","127130","460.2","America/Chicago","79607,79605,79699,79603,79602,79601,79606,79604,79608,79697,79698"
"Simi Valley","CA","California","Ventura","34.2663","-118.749","126503","1168.8","America/Los_Angeles","93063,93065,93062,93094,93099"
"Pearland","TX","Texas","Brazoria","29.5581","-95.3218","125983","998.1","America/Chicago","77047,77089,77584,77581,77588"
"Kenosha","WI","Wisconsin","Kenosha","42.5865","-87.8773","125807","1317","America/Chicago","53144,53140,53142,53143,53141"
"Arecibo","PR","Puerto Rico","Arecibo","18.4491","-66.7387","125548","1001.6","America/Puerto_Rico","00612,00613,00614"
"Meridian","ID","Idaho","Ada","43.6116","-116.3977","124865","1298.5","America/Boise","83646,83642,83680"
"Round Rock","TX","Texas","Williamson","30.527","-97.6642","124288","1258.3","America/Chicago","78681,78664,78665,78682,78683"
"Waldorf","MD","Maryland","Charles","38.6085","-76.9194","124186","879.5","America/New_York","20601,20603,20602,20675,20695,20604"
"Temple","TX","Texas","Bell","31.1068","-97.3891","123932","456.5","America/Chicago","76501,76502,76504,76508,76533"
"Lynchburg","VA","Virginia","Lynchburg","37.4003","-79.1909","123662","625.6","America/New_York","24515,24504,24502,24503,24501,24505,24506,24513,24514"
"Rochester","MN","Minnesota","Olmsted","44.0154","-92.478","123252","828.8","America/Chicago","55902,55903,55901,55906,55904,55905"
"Logan","UT","Utah","Cache","41.7399","-111.8422","122915","1151.4","America/Denver","84321,84322,84341"
"Arvada","CO","Colorado","Jefferson","39.832","-105.151","122835","1216.4","America/Denver","80005,80004,80007,80003,80002,80403,80001,80006"
"Clovis","CA","California","Fresno","36.8278","-119.683","122719","1804.6","America/Los_Angeles","93611,93612,93619,93613,93747"
"Independence","MO","Missouri","Jackson","39.0871","-94.3501","121944","603.7","America/Chicago","64054,64055,64056,64057,64050,64052,64053,64015,64016,64051"
"Redding","CA","California","Shasta","40.5698","-122.365","120849","605.5","America/Los_Angeles","96002,96003,96001"
"Greenville","NC","North Carolina","Pitt","35.5943","-77.376","120595","891.7","America/New_York","27834,27858,28590,27833,27835,27836"
"Duluth","MN","Minnesota","St. Louis","46.7756","-92.1393","120443","468","America/Chicago","55803,55802,55807,55806,55805,55804,55808,55810,55811,55812,55815,55816"
"Berkeley","CA","California","Alameda","37.8722","-122.276","120223","4449.7","America/Los_Angeles","94708,94707,94705,94704,94703,94702,94709,94710,94720,94701,94712"
"Boulder","CO","Colorado","Boulder","40.0248","-105.2524","120121","1526.6","America/Denver","80310,80304,80305,80302,80303,80301,80307,80309,80314"
"Pueblo","CO","Colorado","Pueblo","38.2701","-104.6114","120020","760.5","America/Denver","81004,81005,81003,81001,81008,81002,81010,81011,81012"
